Year,Location,State,Dead,Injured,Total,Race,Gender,Mental Health,Description,Latitude,Longitude,Party
2018,"Chicago, Illinois",Illinois,4,0,4,Unknown,Male,No,"Mercy Hospital shooting: A gunman opened fire in the Mercy Hospital and Medical Center in Chicago, killing a doctor at the hospital who was his former fiancée, a police officer, and one other person before being killed either by himself or by police.",41.8755616,-87.6244212,Democratic
2018,"Robbins, Illinois",Illinois,1,4,5,Unknown,Male,No,"Shooting of Jemel Roberson: A man re-entered a bar after being ejected and began to fire, wounding three people and becoming injured himself. Armed security guards apprehended the suspect. Responding officers saw one of the security guards with a gun, and shot and killed him.",41.6439227,-87.7036602,Democratic
2018,"Thousand Oaks, California",California,13,12,25,White American,Male,Yes,"Thousand Oaks shooting: A man entered a bar hosting a student line-dancing event and killed twelve people, including a police officer. At least twelve other people were injured. The gunman then killed himself.",34.17142715,-118.9105877,Democratic
2018,"Tallahassee, Florida",Florida,3,5,8,White American,Male,Yes,"2018 Tallahassee attack: A man entered a yoga studio and killed 2 women and injured 5 others; four by gunshots and one by pistol-whipping, before committing suicide.",30.4380832,-84.2809332,Republican
2018,"Pittsburgh, Pennsylvania",Pennsylvania,11,6,17,White American,Male,Yes,"Pittsburgh synagogue shooting: A man opened fire in the Tree of Life synagogue in an antisemitic attack, killing eleven people and injuring six others (including four police officers). The suspect was taken into custody by police.",40.4416941,-79.9900861,Republican
2018,"Florence, South Carolina",South Carolina,1,7,8,White American,Male,Unclear,"Florence shooting: Officers were shot at during a two hour standoff while attempting to execute a search warrant. The perpetrator held children hostage, killing one and wounding seven before being arrested.",34.1984435,-79.7671658,Republican
2018,"Aberdeen, Maryland",Maryland,4,3,7,Black or African American,Female,Yes,Aberdeen shooting: An employee of the Rite Aid Distribution facility killed three victims before wounding herself. The shooter died later in the hospital.,39.5095556,-76.1641197,Democratic
2018,"Cincinnati, Ohio",Ohio,4,2,6,Latin American,Male,Yes,"Fifth Third Center shooting: A gunman entered a loading dock at the Fifth Third Center skyscraper and opened fire before entering the lobby of a building. Four people, including the shooter, were killed and two were injured.",39.1014537,-84.5124602,Republican
2018,"Jacksonville, Florida",Florida,3,9,14,White American,Male,Yes,"Jacksonville Landing shooting: A gunman killed two people and wounded eleven more (nine with gunshot wounds) at a Madden NFL 19 competition before killing himself. The shooter was identified as David Katz, an individual who had reportedly been eliminated from the competition before the shooting.",30.3321838,-81.655651,Republican
2018,"Annapolis, Maryland",Maryland,5,2,7,Latin American,Male,Yes,Capital Gazette shooting: A gunman entered the offices of The Capital Gazette and killed five employees and wounded two others.,38.9786401,-76.492786,Democratic
