date,count
1-Jan-1966,2
1-Jan-1971,1
1-Jan-1972,1
1-Jan-1974,2
1-Jan-1976,2
1-Jan-1979,2
1-Jan-1982,3
1-Jan-1983,2
1-Jan-1984,5
1-Jan-1985,2
1-Jan-1986,4
1-Jan-1987,2
1-Jan-1988,7
1-Jan-1989,5
1-Jan-1990,2
1-Jan-1991,8
1-Jan-1992,6
1-Jan-1993,13
1-Jan-1994,5
1-Jan-1995,5
1-Jan-1996,4
1-Jan-1997,8
1-Jan-1998,8
1-Jan-1999,12
1-Jan-2000,2
1-Jan-2001,3
1-Jan-2002,2
1-Jan-2003,4
1-Jan-2004,3
1-Jan-2005,5
1-Jan-2006,9
1-Jan-2007,14
1-Jan-2008,9
1-Jan-2009,10
1-Jan-2010,3
1-Jan-2011,9
1-Jan-2012,21
1-Jan-2013,21
1-Jan-2014,17
1-Jan-2015,72
1-Jan-2016,76
1-Jan-2017,20
1-Jan-2018,17
